tweet_id,count,score,normalised_score
entity/text/news/tweet/38841,236,68.5,0.531007751938
entity/text/news/tweet/38698,243,127.0,0.984496124031
entity/text/news/tweet/38667,242,40.5,0.313953488372
entity/text/news/tweet/38583,242,-14.0,-0.108527131783
entity/text/news/tweet/38853,230,80.5,0.624031007752
entity/text/news/tweet/38616,234,23.0,0.178294573643
entity/text/news/tweet/38948,257,-11.5,-0.0891472868217
entity/text/news/tweet/38935,227,129.0,1.0
entity/text/news/tweet/38893,241,36.0,0.279069767442
entity/text/news/tweet/38797,226,1.5,0.0116279069767
entity/text/news/tweet/38993,211,71.0,0.550387596899
entity/text/news/tweet/38708,238,71.0,0.550387596899
entity/text/news/tweet/38897,231,42.0,0.325581395349
entity/text/news/tweet/38984,232,32.0,0.248062015504
entity/text/news/tweet/38920,233,4.5,0.0348837209302
entity/text/news/tweet/38914,238,5.5,0.0426356589147
entity/text/news/tweet/38784,232,83.0,0.643410852713
entity/text/news/tweet/38910,233,96.0,0.744186046512
entity/text/news/tweet/38789,237,73.0,0.565891472868
entity/text/news/tweet/38807,254,35.5,0.27519379845
entity/text/news/tweet/38741,245,79.0,0.612403100775
